   1 .15 .3
   2 .09 .09
   3 .18 .3
   4 .10 .1
   5 .05 .1
   6 .12 .12
   7 .08 .09
   8 .05 .1
   9 .08 .09
  10 .10 .1
  11 .07 .07
  12 .02 .05
  13 .01 .01
  14 .10 .45
  15 .10 .12
  16 .10 .2
  17 .02 .04
  18 .10 .1
  19 .01 .01
  20 .40 .6
  21 .10 .12
  22 .05 .1
  23 .03 .05
  24 .05 .05
  25 .15 .15
  26 .10 .3
  27 .15 .15
  28 .09 .09
  29 .08 .09
  30 .18 .28
  31 .10 .1
  32 .20 .1
  33 .11 .1
  34 .30 .3
  35 .02 .12
  36 .20 .25
  37 .20 .2
  38 .30 .4
  39 .30 .33
  40 .40 .32
  41 .30 .12
  42 .05 .12
